Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/new/1,5.269466986538527e-9,5.24513313199044e-9,5.345783772468674e-9,1.3883441684023033e-10,4.0121685459207194e-11,2.834991109439322e-10
foo/old/1,6.650287372418857e-9,6.636823852196199e-9,6.672150420406915e-9,5.910433136880382e-11,3.801499360471847e-11,8.803860365153447e-11
foo/dyn/1,7.845402597243149e-9,7.807889007353816e-9,7.994906502424908e-9,2.1335653798895241e-10,4.3845530941972396e-11,4.795801212117088e-10
foo/new/2,5.556678409049651e-9,5.541934008241093e-9,5.5820154524055445e-9,6.202992227973708e-11,4.372138921314278e-11,9.877587864277527e-11
foo/old/2,6.721572082529422e-9,6.70743711581675e-9,6.7410839976394285e-9,5.369104032504783e-11,4.322203647368792e-11,6.752497068373633e-11
foo/dyn/2,8.840843820142567e-9,8.82761154749099e-9,8.85252554419579e-9,4.046679381658439e-11,3.259319798120385e-11,5.1273726601088396e-11
foo/new/3,5.678451544561337e-9,5.672419142716838e-9,5.688096992193785e-9,2.434076908174321e-11,1.6818345317873432e-11,3.9106347734326357e-11
foo/old/3,7.320433465444119e-9,7.312097148705426e-9,7.3307386570610195e-9,3.251256075744086e-11,2.4277466533729592e-11,4.718967810127268e-11
foo/dyn/3,9.837146080834372e-9,9.75467105796598e-9,1.0023870869140589e-8,3.9392311587540606e-10,1.8229995471011286e-10,7.523471153351697e-10
foo/new/4,5.61954191145921e-9,5.612738642030769e-9,5.62942405982327e-9,2.6085117196215538e-11,1.93279848536219e-11,3.939185080204309e-11
foo/old/4,9.334886841761854e-9,9.31878407123758e-9,9.384740640947748e-9,8.578265856508426e-11,4.313879948786109e-11,1.589367369957074e-10
foo/dyn/4,1.0483988194367075e-8,1.0467918870785606e-8,1.0507705127429982e-8,6.32448070288677e-11,4.9851289860390986e-11,8.472632294503703e-11
foo/new/5,6.1208430889103356e-9,6.112502593935748e-9,6.13016109375136e-9,3.071235405676773e-11,2.5925811145176695e-11,3.720523374220485e-11
foo/old/5,9.816316640915758e-9,9.80040026539053e-9,9.83863457811851e-9,6.471238203791773e-11,4.7417320539956924e-11,1.02645372362142e-10
foo/dyn/5,1.1506379550569585e-8,1.1480731077836967e-8,1.1578638698538929e-8,1.3264898963373952e-10,7.186440443546112e-11,2.533356268997127e-10
foo/new/6,6.233739668885371e-9,6.203028471138776e-9,6.331351323245382e-9,1.5536298834650698e-10,6.986363619762907e-11,3.1922114608101985e-10
foo/old/6,9.178604218530934e-9,9.147641410062128e-9,9.233946829720594e-9,1.33094264126407e-10,8.486509161837624e-11,2.2458231739928877e-10
foo/dyn/6,1.5094501468803474e-8,1.5066999249052897e-8,1.5130306184092426e-8,1.0062231945384672e-10,8.423585296576512e-11,1.227757041408876e-10
foo/new/7,6.04225175685697e-9,6.032252092833684e-9,6.052357349013217e-9,3.47183694887447e-11,2.94707446747255e-11,4.0609536595727076e-11
foo/old/7,1.0950462888353324e-8,1.0922827923436423e-8,1.105354326081216e-8,1.4818428506120341e-10,4.5658468093710214e-11,3.262336424238287e-10
foo/dyn/7,1.557004896009795e-8,1.552029540218345e-8,1.5636098389011842e-8,1.9578117111789534e-10,1.439381691946088e-10,2.6847266562931946e-10
foo/new/8,7.399003182698344e-9,7.3857846414781735e-9,7.412403746114535e-9,4.5381985213867235e-11,3.636278643326393e-11,5.940759894101227e-11
foo/old/8,1.2190895778095774e-8,1.2155145385202202e-8,1.2311590936691757e-8,1.9480370441045406e-10,7.732902973803456e-11,4.1522909909361973e-10
foo/dyn/8,1.859042497271135e-8,1.8487189518860172e-8,1.881125470427397e-8,4.641597426240268e-10,2.017182341228114e-10,8.522291559937236e-10
foo/new/9,7.060556948270955e-9,7.045251865725519e-9,7.090403054767522e-9,6.651537713620472e-11,4.371056337611749e-11,1.0788870946251243e-10
foo/old/9,1.261375863972985e-8,1.2552140536753448e-8,1.2736681022895513e-8,2.8082187563224583e-10,1.4785976907495113e-10,4.959800352643298e-10
foo/dyn/9,1.972957020060254e-8,1.953377684889505e-8,2.012374173441085e-8,9.565152201587268e-10,5.147631343075155e-10,1.462333196679053e-9
foo/new/10,7.735804429602823e-9,7.724385695466847e-9,7.750338893162499e-9,4.603687137224603e-11,3.575692867828025e-11,6.566111408463768e-11
foo/old/10,1.287935744208684e-8,1.277884533849812e-8,1.3045856102578514e-8,4.303294097349226e-10,2.489044489810027e-10,7.395434048864186e-10
foo/dyn/10,2.0511506891510482e-8,2.0443794910914602e-8,2.0629494030462873e-8,2.978547398780232e-10,1.991748575072565e-10,4.53604965581655e-10
foo/new/11,6.983111191899472e-9,6.972297504938951e-9,6.995046692780118e-9,3.771218811338502e-11,3.1981544173536284e-11,4.5964487883520415e-11
foo/old/11,1.3707896952822291e-8,1.3541235946173956e-8,1.397922977205447e-8,7.098637268373499e-10,4.093853244611527e-10,1.0609074975467711e-9
foo/dyn/11,2.427621009184129e-8,2.4202222344393136e-8,2.444127731700525e-8,3.553135065569262e-10,1.8622503435257527e-10,6.350381071218469e-10
foo/new/12,7.5116018746803e-9,7.478498704522484e-9,7.588436234275514e-9,1.6964976421523e-10,9.020941187345742e-11,3.1178160592040516e-10
foo/old/12,1.4832072547225669e-8,1.4791138417090146e-8,1.487110761530989e-8,1.3405304948851678e-10,1.1198968914130898e-10,1.6825879552953337e-10
foo/dyn/12,2.5429136914717063e-8,2.5241403762404926e-8,2.5709345133277137e-8,7.831562112232016e-10,4.931388991748946e-10,1.0961240186900036e-9
foo/new/13,8.038296063350564e-9,7.999905715457218e-9,8.103107849862573e-9,1.6884617838655737e-10,1.2220479460284596e-10,2.3033971468338163e-10
foo/old/13,1.5707402387719216e-8,1.5667452900273e-8,1.575631032791727e-8,1.41057174109064e-10,1.1359563530713058e-10,1.8597643834242117e-10
foo/dyn/13,2.7416214712016138e-8,2.7288074998613887e-8,2.764829090839679e-8,5.481440876401791e-10,3.40351446640546e-10,9.23079614119692e-10
foo/new/14,8.420462123058416e-9,8.400013632626268e-9,8.454784607401453e-9,8.388529251307756e-11,5.221386460216049e-11,1.4656777034130158e-10
foo/old/14,1.6849330314397736e-8,1.678988383381432e-8,1.694601522860706e-8,2.4274448501034643e-10,1.638573477494257e-10,3.4442151724072574e-10
foo/dyn/14,2.9766105440234486e-8,2.9613156382289996e-8,3.0265643380914935e-8,7.973949773461864e-10,2.889045528266836e-10,1.4060932888035929e-9
foo/new/15,8.576718218838272e-9,8.550425135203515e-9,8.654709681417393e-9,1.3885077994215904e-10,6.114491358979081e-11,2.679180952356639e-10
foo/old/15,1.720523050866883e-8,1.7171503066444395e-8,1.7264802775493864e-8,1.404853116799318e-10,9.102225675779732e-11,2.0218290206671744e-10
foo/dyn/15,3.1028940217455175e-8,3.078966358858951e-8,3.1571307650481904e-8,1.0781565097091899e-9,6.529818112672131e-10,1.884561734464447e-9
foo/new/16,9.064553054311415e-9,9.04321500208599e-9,9.107440013495066e-9,9.37845183845811e-11,6.285485229589917e-11,1.5929299495042195e-10
foo/old/16,2.3363159797105933e-8,2.332325327130842e-8,2.340780653718261e-8,1.414426943773054e-10,1.1193200171966443e-10,1.8841307124890552e-10
foo/dyn/16,3.320477592854837e-8,3.308506779275972e-8,3.344019093313042e-8,5.489834138163969e-10,2.553959340037447e-10,9.166617162299953e-10
foo/new/17,9.277975763861569e-9,9.251703741485309e-9,9.35661354218907e-9,1.327376524608306e-10,5.28771701760074e-11,2.5997863394101767e-10
foo/old/17,2.443827054259281e-8,2.4399599328050813e-8,2.4485329304356824e-8,1.36261671376681e-10,1.1120922897265753e-10,1.666572347320685e-10
foo/dyn/17,3.550763384780693e-8,3.5383183179957115e-8,3.586745707682416e-8,6.65973116396722e-10,2.763641090943714e-10,1.3079180626299507e-9
foo/new/18,9.967235610446593e-9,9.927993553758648e-9,1.0040490603176696e-8,1.588090031983729e-10,9.489829112814887e-11,2.688199884965911e-10
foo/old/18,2.4510416876470948e-8,2.445489823473948e-8,2.4594738407329385e-8,2.1902320857826907e-10,1.651750850125267e-10,2.817265802514116e-10
foo/dyn/18,4.267602426382901e-8,4.2581909556373285e-8,4.27931701138343e-8,3.7837570897549525e-10,3.138473956667243e-10,4.838526823233058e-10
foo/new/19,1.0053970369412741e-8,1.0011224138601076e-8,1.011029176204126e-8,1.774131066614334e-10,1.3524462104883e-10,2.6944417674410235e-10
foo/old/19,2.631565492966318e-8,2.624872011018295e-8,2.6400016346686473e-8,2.3983278487855105e-10,1.886358362569813e-10,3.456318241181086e-10
foo/dyn/19,3.932917285693811e-8,3.920239873418955e-8,3.9533594914702063e-8,5.481356680034412e-10,3.4959334944071166e-10,8.575070496707131e-10
foo/new/20,1.0726049713345557e-8,1.0667318082377085e-8,1.0879227510671377e-8,2.726488121713611e-10,1.3180897036184677e-10,5.054450007502529e-10
foo/old/20,2.714472758419884e-8,2.709933194940172e-8,2.720815552792479e-8,1.6413740579422577e-10,1.2921829446769012e-10,2.1383040286154688e-10
foo/dyn/20,4.0542078251143236e-8,4.038313653310555e-8,4.079328126233725e-8,6.451409830234514e-10,4.1436012485215573e-10,9.695340641776808e-10
foo/new/21,1.0966405086800813e-8,1.0906407065197566e-8,1.1169833445152279e-8,3.276946539399911e-10,1.0124353000684408e-10,7.128568939945844e-10
foo/old/21,2.7074153564379307e-8,2.703159322687162e-8,2.712686901262027e-8,1.6417947279062727e-10,1.252240707486676e-10,2.358464989490686e-10
foo/dyn/21,4.2579263799212393e-8,4.242571388299396e-8,4.304555700712707e-8,8.200156143047868e-10,2.2631601489428035e-10,1.8097170241757978e-9
foo/new/22,1.1330692130131675e-8,1.1300505190666945e-8,1.1392993374414266e-8,1.3664150727571243e-10,7.939069371657548e-11,2.4328092167195383e-10
foo/old/22,2.8832064080096637e-8,2.8784740848736095e-8,2.8884721948811795e-8,1.6398119625812355e-10,1.2817378713774096e-10,2.2438906512391107e-10
foo/dyn/22,5.118201829286417e-8,5.109799741044428e-8,5.128023068065746e-8,3.1552741287699775e-10,2.659055777889286e-10,3.9182723940773335e-10
foo/new/23,1.1710070029304648e-8,1.1676648793306358e-8,1.1748592202731538e-8,1.1741569515139512e-10,8.69041450728969e-11,1.6643210388104477e-10
foo/old/23,3.111539656410584e-8,3.046910939137119e-8,3.215520637814179e-8,2.6356829338436856e-9,1.8571373707742919e-9,3.2341216946884302e-9
foo/dyn/23,4.820952561537472e-8,4.807252019801843e-8,4.83759122627321e-8,4.874097851417172e-10,4.0520819756114056e-10,6.407936127585857e-10
foo/new/24,1.2120379314611878e-8,1.2083618013403049e-8,1.2175451922484301e-8,1.5143248095838094e-10,1.1396933034654684e-10,2.3655778990253686e-10
foo/old/24,3.095553724609026e-8,3.0913545741712234e-8,3.1019865891646585e-8,1.6915022639803297e-10,1.1870426994206622e-10,2.911382063181496e-10
foo/dyn/24,4.845683073544722e-8,4.820416253386736e-8,4.9044250446682434e-8,1.1337110637621057e-9,5.825584934106987e-10,2.0165142480579675e-9
foo/new/25,1.2287906857686627e-8,1.2257989440257679e-8,1.2325512247217515e-8,1.0600040321141707e-10,8.440984329464507e-11,1.5098474168386797e-10
foo/old/25,3.16762166433837e-8,3.156561166267014e-8,3.192060728128354e-8,5.402330731606258e-10,1.8647432660926485e-10,1.0522653590315547e-9
foo/dyn/25,4.9976772349457225e-8,4.9842887840311376e-8,5.0209825003702114e-8,5.846232649499974e-10,3.831614679457557e-10,1.049655128187807e-9
foo/new/26,1.284593983722897e-8,1.2819987818913678e-8,1.2881439696717546e-8,1.0582395811234935e-10,8.268277108760588e-11,1.456803029404304e-10
